# Rattachement etablissement penitentiaire -> commune d'implantation (code INSEE, COG 2025).
# Construit le 2026-08-07 par jointure sur le nom entre le fichier mensuel DGAP
# « statistique_etablissements_personnes_ecrouees » (onglets Tab14-Tab23) et la Base de
# donnees locales de l'annuaire de l'administration (DILA, licence ouverte 2.0,
# https://lecomarquage.service-public.gouv.fr/donnees_locales_v4/all_latest.tar.bz2,
# types maison_arret / centre_penitentiaire / centre_detention / maison_centrale / csl / esm).
# La jointure floue a ete faite UNE fois puis verifiee a la main ; ce fichier est le
# resultat fige. Le connecteur (plateforme/normalize/prisons.py) le lit tel quel et ne
# refait jamais le rapprochement : un etablissement du xlsx absent d'ici bloque le run.
# provenance = annuaire (appariement exact sur le nom) ou manuel (resolu a la main,
# la colonne reference dit depuis quoi). Les arrondissements municipaux sont replies
# sur leur commune (CP de Marseille-Baumettes : 13209 -> 13055).
etablissement,code_commune,provenance,reference
MA AUXERRE,89024,annuaire,Maison d'arrêt d'Auxerre
MA BAR LE DUC,55029,annuaire,Maison d'arrêt de Bar-le-Duc
MA BASSE TERRE,97105,manuel,"absent de l'annuaire (seul un point-justice y figure), Basse-Terre"
MA BAYONNE,64102,annuaire,Maison d'arrêt de Bayonne
MA BELFORT,90010,annuaire,Maison d'arrêt de Belfort
MA BESANCON,25056,annuaire,Maison d'arrêt de Besançon
MA BETHUNE,62119,annuaire,Maison d'arrêt de Béthune
MA BLOIS,41018,annuaire,Maison d'arrêt de Blois
MA BONNEVILLE,74042,annuaire,Maison d'arrêt de Bonneville
MA BOURGES,18033,annuaire,Maison d'arrêt de Bourges
MA BREST,29019,annuaire,Maison d'arrêt de Brest
MA CARCASSONNE,11069,annuaire,Maison d'arrêt de Carcassonne
MA CHALONS EN CHAMPAGNE,51108,annuaire,Maison d'arrêt de Châlons-en-Champagne
MA CHAMBERY,73065,annuaire,Maison d'arrêt de Chambéry
MA CHARLEVILLE MEZIERES,08105,annuaire,Maison d'arrêt de Charleville-Mézières
MA CHAUMONT,52121,annuaire,Maison d'arrêt de Chaumont
MA CHERBOURG,50129,annuaire,Maison d'arrêt de Cherbourg
MA COUTANCES,50147,manuel,"annuaire ne porte que le point-justice de la MA, Coutances"
MA DIGNE LES BAINS,04070,annuaire,Maison d'arrêt de Digne-les-Bains
MA DIJON,21231,annuaire,Maison d'arrêt de Dijon
MA DOUAI,59178,annuaire,Maison d'arrêt de Douai
MA DRAGUIGNAN,83050,annuaire,Maison d'arrêt de Draguignan
MA DUNKERQUE,59183,annuaire,Maison d'arrêt de Dunkerque
MA EPINAL,88160,annuaire,Maison d'arrêt d'Epinal
MA EVREUX,27229,annuaire,Maison d'arrêt d'Evreux
MA FOIX,09122,annuaire,Maison d'arrêt de Foix
MA FONTENAY LE COMTE,85092,annuaire,Maison d'arrêt de Fontenay-le-Comte
MA GAP,05061,annuaire,Maison d'arrêt de Gap
MA GRASSE,06069,annuaire,Maison d'arrêt de Grasse
MA GUERET,23096,annuaire,Maison d'arrêt de Guéret
MA LA ROCHE SUR YON,85191,annuaire,Maison d'arrêt de La Roche-sur-Yon
MA LAVAL,53130,annuaire,Maison d'arrêt de Laval
MA LE PUY EN VELAY,43041,manuel,MA du Puy-en-Velay (annuaire)
MA LIMOGES,87085,annuaire,Maison d'arrêt de Limoges
MA LONS LE SAUNIER,39300,annuaire,Maison d'arrêt de Lons-le-Saunier
MA LYON CORBAS,69273,annuaire,Maison d'arrêt de Lyon-Corbas
MA MENDE,48095,annuaire,Maison d'arrêt de Mende
MA MONTAUBAN,82121,annuaire,Maison d'arrêt de Montauban
MA MONTBELIARD,25388,annuaire,Maison d'arrêt de Montbéliard
MA MONTLUCON,03185,annuaire,Maison d'arrêt de Montluçon
MA NANCY MAXEVILLE,54357,annuaire,Maison d'arrêt de Nancy-Maxéville
MA NEVERS,58194,annuaire,Maison d'arrêt de Nevers
MA NICE,06088,annuaire,Maison d'arrêt de Nice
MA NIMES,30189,annuaire,Maison d'arrêt de Nîmes
MA NIORT,79191,annuaire,Maison d'arrêt de Niort
MA PAU,64445,annuaire,Maison d'arrêt de Pau
MA PERIGUEUX,24322,annuaire,Maison d'arrêt de Périgueux
MA PRIVAS,07186,annuaire,Maison d'arrêt de Privas
MA REIMS,51454,annuaire,Maison d'arrêt de Reims
MA ROCHEFORT,17299,annuaire,Maison d'arrêt de Rochefort
MA RODEZ,12202,annuaire,Maison d'arrêt de Rodez
MA ROUEN,76540,annuaire,Maison d'arrêt de Rouen
MA SAINTES,17415,annuaire,Maison d'arrêt de Saintes
MA SARREGUEMINES,57750,annuaire,Maison d'arrêt de Sarreguemines
MA ST BRIEUC,22278,annuaire,Maison d'arrêt de Saint-Brieuc
MA ST MALO,35288,annuaire,Maison d'arrêt de Saint-Malo
MA ST PIERRE,97416,manuel,MA de Saint-Pierre-de-la-Réunion (annuaire)
MA STRASBOURG,67482,annuaire,Maison d'arrêt de Strasbourg
MA TARBES,65440,annuaire,Maison d'arrêt de Tarbes
MA TOURS,37261,annuaire,Maison d'arrêt de Tours
MA TULLE,19272,annuaire,Maison d'arrêt de Tulle
MA VALENCIENNES,59606,annuaire,Maison d'arrêt de Valenciennes
MA VANNES,56260,annuaire,Maison d'arrêt de Vannes
MA VERSAILLES,78646,annuaire,Maison d'arrêt de Versailles
MA VESOUL,70550,annuaire,Maison d'arrêt de Vesoul
MC ARLES,13004,annuaire,Maison centrale d'Arles
MC ENSISHEIM,68082,annuaire,Maison centrale d'Ensisheim
MC POISSY,78498,annuaire,Maison centrale de Poissy
MC ST MARTIN DE RE,17369,annuaire,Maison centrale de Saint-Martin-de-Ré
MC ST MAUR,36202,annuaire,Maison centrale de Saint-Maur
